timestamp,reconstruction_error,is_anomaly,inferred_type
2024-10-27 05:55:00,1.7308801,True,Latency Anomaly
2024-10-27 06:00:00,1.7269682,True,Latency Anomaly
2024-10-27 06:05:00,1.723182,True,Token/Cost Anomaly
2024-10-27 06:10:00,1.7213497,True,Token/Cost Anomaly
2024-10-27 06:15:00,1.6921849,True,Token/Cost Anomaly
2024-10-27 06:20:00,1.6965562,True,Token/Cost Anomaly
2024-10-27 06:25:00,1.7164323,True,Token/Cost Anomaly
2024-10-27 06:30:00,1.6684623,True,Token/Cost Anomaly
2024-10-27 06:35:00,1.6635284,True,Token/Cost Anomaly
2024-10-27 06:40:00,1.638804,True,Token/Cost Anomaly
2024-10-27 06:45:00,1.6269832,True,Token/Cost Anomaly
2024-10-27 06:50:00,1.6253849,True,Token/Cost Anomaly
2024-10-27 06:55:00,1.6192354,True,Token/Cost Anomaly
2024-10-27 07:00:00,1.6134311,True,Token/Cost Anomaly
2024-10-27 07:05:00,1.5735158,True,Token/Cost Anomaly
2024-10-27 07:10:00,1.5441544,True,Token/Cost Anomaly
2024-10-27 07:15:00,1.5299726,True,Token/Cost Anomaly
2024-10-27 07:20:00,1.5303789,True,Token/Cost Anomaly
2024-10-27 07:25:00,1.5162818,True,Token/Cost Anomaly
2024-11-01 02:25:00,8.491185,True,Token/Cost Anomaly
2024-11-01 02:30:00,8.45129,True,Token/Cost Anomaly
2024-11-01 02:35:00,8.528419,True,Token/Cost Anomaly
2024-11-01 02:40:00,8.496441,True,Token/Cost Anomaly
2024-11-01 02:45:00,8.547499,True,Token/Cost Anomaly
2024-11-01 02:50:00,8.436097,True,Token/Cost Anomaly
2024-11-01 02:55:00,8.455747,True,Token/Cost Anomaly
2024-11-01 03:00:00,8.473049,True,Token/Cost Anomaly
2024-11-01 03:05:00,8.481354,True,Token/Cost Anomaly
2024-11-01 03:10:00,8.499047,True,Token/Cost Anomaly
2024-11-01 03:15:00,8.506803,True,Token/Cost Anomaly
2024-11-01 03:20:00,8.50723,True,Token/Cost Anomaly
2024-11-01 03:25:00,8.496652,True,Token/Cost Anomaly
2024-11-01 03:30:00,8.501166,True,Token/Cost Anomaly
2024-11-01 03:35:00,8.502415,True,Token/Cost Anomaly
2024-11-01 03:40:00,8.5212755,True,Token/Cost Anomaly
2024-11-01 03:45:00,8.571398,True,Token/Cost Anomaly
2024-11-01 03:50:00,8.613353,True,Token/Cost Anomaly
2024-11-01 03:55:00,8.622764,True,Token/Cost Anomaly
2024-11-01 04:00:00,8.619052,True,Token/Cost Anomaly
2024-11-01 04:05:00,10.097011,True,Token/Cost Anomaly
2024-11-01 04:10:00,10.12345,True,Token/Cost Anomaly
2024-11-01 04:15:00,10.112971,True,Token/Cost Anomaly
2024-11-01 04:20:00,10.110555,True,Token/Cost Anomaly
2024-11-01 04:25:00,10.11025,True,Token/Cost Anomaly
2024-11-01 04:30:00,10.114371,True,Token/Cost Anomaly
2024-11-01 04:35:00,10.116098,True,Token/Cost Anomaly
2024-11-01 04:40:00,10.123537,True,Token/Cost Anomaly
2024-11-01 04:45:00,10.128373,True,Token/Cost Anomaly
2024-11-01 04:50:00,10.116582,True,Token/Cost Anomaly
2024-11-01 04:55:00,10.112007,True,Token/Cost Anomaly
2024-11-01 05:00:00,10.117439,True,Token/Cost Anomaly
2024-11-01 05:05:00,10.120115,True,Token/Cost Anomaly
2024-11-01 05:10:00,10.123839,True,Token/Cost Anomaly
2024-11-01 05:15:00,10.120803,True,Token/Cost Anomaly
2024-11-01 05:20:00,10.11665,True,Token/Cost Anomaly
2024-11-01 05:25:00,10.1115465,True,Token/Cost Anomaly
2024-11-01 05:30:00,10.116264,True,Token/Cost Anomaly
2024-11-01 05:35:00,10.130866,True,Token/Cost Anomaly
2024-11-01 05:40:00,10.065629,True,Token/Cost Anomaly
2024-11-01 05:45:00,10.068546,True,Token/Cost Anomaly
2024-11-01 05:50:00,10.0568495,True,Token/Cost Anomaly
2024-11-01 05:55:00,10.064123,True,Token/Cost Anomaly
2024-11-01 06:00:00,10.061085,True,Token/Cost Anomaly
2024-11-01 06:05:00,10.054822,True,Token/Cost Anomaly
2024-11-01 06:10:00,10.040093,True,Token/Cost Anomaly
2024-11-01 06:15:00,10.029221,True,Token/Cost Anomaly
2024-11-01 06:20:00,10.035316,True,Token/Cost Anomaly
2024-11-01 06:25:00,10.005896,True,Token/Cost Anomaly
2024-11-01 06:30:00,10.003965,True,Token/Cost Anomaly
2024-11-01 06:35:00,10.00039,True,Token/Cost Anomaly
2024-11-01 06:40:00,10.001944,True,Token/Cost Anomaly
2024-11-01 06:45:00,9.986019,True,Token/Cost Anomaly
2024-11-01 06:50:00,9.984384,True,Token/Cost Anomaly
2024-11-01 06:55:00,10.131695,True,Token/Cost Anomaly
2024-11-01 07:00:00,9.876739,True,Token/Cost Anomaly
2024-11-01 07:05:00,9.860511,True,Token/Cost Anomaly
2024-11-01 07:10:00,9.847258,True,Token/Cost Anomaly
2024-11-01 07:15:00,9.844951,True,Token/Cost Anomaly
2024-11-01 07:20:00,9.84111,True,Token/Cost Anomaly
2024-11-01 07:25:00,9.836943,True,Token/Cost Anomaly
2024-11-01 07:30:00,9.798114,True,Token/Cost Anomaly
2024-11-01 07:35:00,9.79918,True,Token/Cost Anomaly
2024-11-01 07:40:00,9.79415,True,Token/Cost Anomaly
2024-11-01 07:45:00,9.787323,True,Token/Cost Anomaly
2024-11-01 07:50:00,9.75401,True,Token/Cost Anomaly
2024-11-01 07:55:00,9.730867,True,Token/Cost Anomaly
2024-11-01 08:00:00,9.718521,True,Token/Cost Anomaly
2024-11-01 08:05:00,9.671813,True,Token/Cost Anomaly
2024-11-01 08:10:00,9.649905,True,Token/Cost Anomaly
2024-11-01 08:15:00,9.717701,True,Token/Cost Anomaly
2024-11-01 08:20:00,9.852239,True,Token/Cost Anomaly
2024-11-01 08:25:00,2.1048534,True,Token/Cost Anomaly
2024-11-01 08:30:00,2.103619,True,Token/Cost Anomaly
2024-11-01 08:35:00,2.0866845,True,Token/Cost Anomaly
2024-11-01 08:40:00,2.0836647,True,Token/Cost Anomaly
2024-11-01 08:45:00,2.0479112,True,Token/Cost Anomaly
2024-11-01 08:50:00,2.0327613,True,Token/Cost Anomaly
2024-11-01 08:55:00,2.01755,True,Token/Cost Anomaly
2024-11-01 09:00:00,1.9931662,True,Token/Cost Anomaly
2024-11-01 09:05:00,1.9899827,True,Token/Cost Anomaly
2024-11-01 09:10:00,1.9892622,True,Token/Cost Anomaly
2024-11-01 09:15:00,1.9682173,True,Token/Cost Anomaly
2024-11-01 09:20:00,1.9637723,True,Token/Cost Anomaly
2024-11-01 09:25:00,1.9615934,True,Token/Cost Anomaly
2024-11-01 09:30:00,1.9623384,True,Token/Cost Anomaly
2024-11-01 09:35:00,1.9609901,True,Token/Cost Anomaly
2024-11-01 09:40:00,1.9605771,True,Token/Cost Anomaly
2024-11-01 09:45:00,1.8966975,True,Token/Cost Anomaly
2024-11-01 09:50:00,1.8607155,True,Token/Cost Anomaly
2024-11-01 09:55:00,1.883044,True,Token/Cost Anomaly
2024-11-01 10:00:00,1.9345042,True,Token/Cost Anomaly
2024-11-02 03:40:00,1.5585008,True,Token/Cost Anomaly
2024-11-02 03:45:00,1.5691093,True,Token/Cost Anomaly
2024-11-02 03:50:00,1.5990826,True,Token/Cost Anomaly
2024-11-02 03:55:00,1.635465,True,Token/Cost Anomaly
2024-11-02 04:00:00,1.6488633,True,Token/Cost Anomaly
2024-11-02 04:05:00,1.6504803,True,Token/Cost Anomaly
2024-11-02 04:10:00,1.6855451,True,Token/Cost Anomaly
2024-11-02 04:15:00,1.6983972,True,Token/Cost Anomaly
2024-11-02 04:20:00,1.7061229,True,Token/Cost Anomaly
2024-11-02 04:25:00,1.7544981,True,Token/Cost Anomaly
2024-11-02 04:30:00,1.7416612,True,Token/Cost Anomaly
2024-11-02 04:35:00,1.7413852,True,Token/Cost Anomaly
2024-11-02 04:40:00,1.776108,True,Token/Cost Anomaly
2024-11-02 04:45:00,1.7836589,True,Token/Cost Anomaly
2024-11-02 04:50:00,1.7950127,True,Token/Cost Anomaly
2024-11-02 04:55:00,1.8363357,True,Token/Cost Anomaly
2024-11-02 05:00:00,1.8330418,True,Token/Cost Anomaly
2024-11-02 05:05:00,1.8278247,True,Token/Cost Anomaly
2024-11-02 05:10:00,1.8291879,True,Token/Cost Anomaly
2024-11-02 05:15:00,1.8289928,True,Token/Cost Anomaly
2024-11-02 05:20:00,1.845862,True,Token/Cost Anomaly
2024-11-02 05:25:00,1.8511611,True,Token/Cost Anomaly
2024-11-02 05:30:00,1.8474748,True,Token/Cost Anomaly
